附属设施(巡查项目) ||| 巡查子项目 ||| 通风系统(系统)
管道舱(巡查项目) ||| 巡查内容 ||| 无燃气异味(内容)
监测(巡查方法) ||| 巡查内容 ||| 符合国家现行标准《工程测量规范》GB 50026、《国家一、二等水准测量规范》GB/T 12897及《建筑变形测量规范》JGJ 8(内容)
检测(巡查方法) ||| 巡查内容 ||| 符合国家现行标准《工程测量规范》GB 50026、《国家一、二等水准测量规范》GB/T 12897及《建筑变形测量规范》JGJ 8(内容)
漏洞(巡查项目) ||| 巡查内容 ||| 气、水、虫、鼠等进入(内容)
极端天气(内容) ||| 包含 ||| 雷电预警(内容)
供电系统(巡查项目) ||| 巡查内容 ||| 雷电预警(内容)
供电系统(巡查项目) ||| 巡查方法 ||| 日常监测(巡查方法)
综合管廊本体(巡查项目) ||| 巡查方法 ||| 日常监测(巡查方法)
安全管理(内容) ||| 巡查方法 ||| 日常监测(巡查方法)
运行维护(内容) ||| 巡查方法 ||| 日常监测(巡查方法)
排水系统(系统) ||| 巡查内容 ||| 供热期(内容)
系统(巡查项目) ||| 巡查内容 ||| 存储一年以上完整的系统运行记录(内容)
通风系统(系统) ||| 巡查内容 ||| 运行方案(内容)
防火分隔(巡查项目) ||| 巡查子项目 ||| 阻火包(巡查项目)
标识(巡查项目) ||| 巡查内容 ||| 内容清晰完整(内容)
日常巡检(巡查方法) ||| 巡查周期 ||| 应每月不少于1次(巡查周期)
退化性质(内容) ||| 需要 ||| 材料取样试验(内容)
退化程度(内容) ||| 需要 ||| 材料取样试验(内容)
材料特性(内容) ||| 需要 ||| 材料取样试验(内容)
线缆(巡查项目) ||| 巡查内容 ||| 固定设施(内容)
线缆(巡查项目) ||| 巡查内容 ||| 无严重下沉(内容)
综合管廊(巡查项目) ||| 巡查子项目 ||| 孔口(巡查项目)
综合管廊(巡查项目) ||| 巡查子项目 ||| 相关孔口(巡查项目)
管廊本体(巡查项目) ||| 巡查方法 ||| 集中监控(巡查方法)
相关附属设施(巡查项目) ||| 巡查方法 ||| 集中监控(巡查方法)
综合管廊(巡查项目) ||| 巡查方法 ||| 结构定期检测(巡查方法)
结构定期检测(巡查方法) ||| 巡查内容 ||| 在规定的时间间隔进行(内容)
关键部位(内容) ||| 巡查方法 ||| 设仪器监控测试(巡查方法)
综合管廊(巡查项目) ||| 巡查子项目 ||| 引出支管(巡查项目)
定期试验(巡查方法) ||| 巡查内容 ||| 按现行行业标准《电力设备预防性试验规程》DL/T 596和《输变电设备状态检修试验规程》DL/T 393(内容)
运行状态(内容) ||| 需要 ||| 监控功能(内容)
管道(巡查项目) ||| 巡查内容 ||| 漏损(内容)
机电设备(巡查项目) ||| 巡查内容 ||| 功能(内容)
仪表(巡查项目) ||| 巡查内容 ||| 功能(内容)
综合管廊(巡查项目) ||| 巡查内容 ||| 任何人员进入(内容)
出现露筋时(内容) ||| 维护方法 ||| 进行除锈处理后再修复(维护方法)
栏杆(巡查项目) ||| 巡查子项目 ||| 螺栓(巡查项目)
扶梯(巡查项目) ||| 巡查子项目 ||| 螺栓(巡查项目)
桥(支）架(巡查项目) ||| 巡查子项目 ||| 螺栓(巡查项目)
电力电缆(巡查项目) ||| 巡查方法 ||| 预防性试验(巡查方法)
变压器(巡查项目) ||| 巡查方法 ||| 预防性试验(巡查方法)
互感器(巡查项目) ||| 巡查方法 ||| 预防性试验(巡查方法)
线缆(巡查项目) ||| 巡查内容 ||| 敷设状况(内容)
管廊本体(巡查项目) ||| 巡查子项目 ||| 相关附属设施(巡查项目)
在规定的时间间隔进行(内容) ||| 巡查周期 ||| 间隔时间宜为6-10年(巡查周期)
安全管理(内容) ||| 需要 ||| 符合现行国家标准《电力安全工作规程 电力线路部分》GB 26859和《电力安全工作规程 发电厂和变电站电气部分》GB 26860(内容)
运行维护(内容) ||| 需要 ||| 符合现行国家标准《电力安全工作规程 电力线路部分》GB 26859和《电力安全工作规程 发电厂和变电站电气部分》GB 26860(内容)
极端天气(内容) ||| 包含 ||| 台风预警(内容)
供电系统(巡查项目) ||| 巡查内容 ||| 台风预警(内容)
极端天气(内容) ||| 包含 ||| 高温预警(内容)
供电系统(巡查项目) ||| 巡查内容 ||| 高温预警(内容)
极端天气(内容) ||| 包含 ||| 强冷气候(内容)
供电系统(巡查项目) ||| 巡查内容 ||| 强冷气候(内容)
排水系统(系统) ||| 巡查内容 ||| 汛期(内容)
风机外壳(巡查项目) ||| 巡查内容 ||| 与电机绕组间的绝缘电阻＞0.5MΩ(内容)
检查孔(巡查项目) ||| 巡查内容 ||| 外观变形(内容)
检查井(巡查项目) ||| 巡查内容 ||| 外观变形(内容)
日常巡检(巡查方法) ||| 巡查内容 ||| 结合本体日常巡检进行(内容)
综合管廊(巡查项目) ||| 巡查子项目 ||| 直埋天然气管道(巡查项目)
任何人员进入(内容) ||| 需要 ||| 经过审批程序(内容)
检查孔(巡查项目) ||| 巡查内容 ||| 开启与关闭(内容)
检查井(巡查项目) ||| 巡查内容 ||| 开启与关闭(内容)
连接(内容) ||| 维护方法 ||| 采取安全保护措施(维护方法)
敷设(内容) ||| 维护方法 ||| 采取安全保护措施(维护方法)
安全管理(内容) ||| 巡查方法 ||| 专业检测(巡查方法)
运行维护(内容) ||| 巡查方法 ||| 专业检测(巡查方法)
灭火器材(巡查项目) ||| 维护方法 ||| 维护保养(维护方法)
分支口(巡查项目) ||| 维护方法 ||| 维护保养(维护方法)
安全管理(内容) ||| 维护方法 ||| 维护保养(维护方法)
运行维护(内容) ||| 维护方法 ||| 维护保养(维护方法)
互感器(巡查项目) ||| 巡查方法 ||| 定期试验(巡查方法)
变压器(巡查项目) ||| 巡查方法 ||| 定期试验(巡查方法)
防火封堵材料(巡查项目) ||| 巡查内容 ||| 严密性(内容)
集水坑(巡查项目) ||| 巡查内容 ||| 水位(内容)
综合管廊(巡查项目) ||| 巡查子项目 ||| 引出支管线(巡查项目)
沉降数据分析(内容) ||| 维护方法 ||| 采取相应的加固措施(维护方法)
综合管廊运营管理单位(内容) ||| 维护方法 ||| 采取相应防范措施或启动应急预案(维护方法)
任何人员进入(内容) ||| 需要 ||| 不得擅自进入(内容)
缺损(内容) ||| 维护方法 ||| 采用环氧树脂砂浆(维护方法)
钢结构(巡查项目) ||| 巡查内容 ||| 连接良好(内容)
舱室(巡查项目) ||| 巡查内容 ||| 未经许可严禁动用明火(内容)
电缆(巡查项目) ||| 巡查子项目 ||| 金属构件处(巡查项目)
热力管道(巡查项目) ||| 巡查内容 ||| 疏水(内容)
氧气浓度(内容) ||| 需要 ||| 人员活动的要求(内容)
湿度(内容) ||| 需要 ||| 人员活动的要求(内容)
环境温度(内容) ||| 需要 ||| 人员活动的要求(内容)
检查孔(巡查项目) ||| 巡查内容 ||| 密闭(内容)
管线(巡查项目) ||| 巡查内容 ||| 无杂物(内容)
集水坑(巡查项目) ||| 巡查内容 ||| 无杂物(内容)
连接(内容) ||| 维护方法 ||| 采取可靠的安全保护措施(维护方法)
敷设(内容) ||| 维护方法 ||| 采取可靠的安全保护措施(维护方法)
风机起动前应打开(内容) ||| 需要 ||| 起动后即落入不稳定工况区(内容)
泄漏信息(内容) ||| 维护方法 ||| 及时传送给综合管廊运营管理单位(维护方法)
任何人员进入(内容) ||| 需要 ||| 准入制(内容)
管廊本体(巡查项目) ||| 巡查子项目 ||| 钢结构(巡查项目)
桥(支）架(巡查项目) ||| 巡查子项目 ||| 钢结构(巡查项目)
综合管廊(巡查项目) ||| 巡查内容 ||| 技术档案管理(内容)
排水(内容) ||| 需要 ||| 符合综合管廊运营管理单位的运行管理要求(内容)
排气(内容) ||| 需要 ||| 符合综合管廊运营管理单位的运行管理要求(内容)
疏水(内容) ||| 需要 ||| 符合综合管廊运营管理单位的运行管理要求(内容)
通信线缆(巡查项目) ||| 巡查内容 ||| 编制测修计划(内容)
通信线缆(巡查项目) ||| 巡查内容 ||| 周期性整理(内容)
通信线缆(巡查项目) ||| 巡查内容 ||| 测修通信线缆(内容)
系统(巡查项目) ||| 巡查内容 ||| 日常维护(内容)
通信线缆(巡查项目) ||| 巡查内容 ||| 日常维护(内容)
综合管廊(巡查项目) ||| 巡查内容 ||| 环境温度(内容)
运行维护(内容) ||| 需要 ||| 符合现行国家标准《城镇综合管廊监控与报警系统工程技术标准》 GB/T 51274(内容)
安全管理(内容) ||| 需要 ||| 符合国家现行标准《电力安全工作规程》GB 26859、《电力电缆线路运行规程》 DL/T 1253和《电力电缆分布式光纤测温系统技术规范》DL/T 1573(内容)
运行维护(内容) ||| 需要 ||| 符合国家现行标准《电力安全工作规程》GB 26859、《电力电缆线路运行规程》 DL/T 1253和《电力电缆分布式光纤测温系统技术规范》DL/T 1573(内容)
技术档案(内容) ||| 需要 ||| 准确(内容)
提供的信息(内容) ||| 需要 ||| 准确(内容)
运行相关数据(巡查项目) ||| 巡查内容 ||| 运维数据(内容)
运行相关数据(巡查项目) ||| 巡查内容 ||| 监控存储数据(内容)
系统(巡查项目) ||| 巡查内容 ||| 测试结果(内容)
通信线缆(巡查项目) ||| 巡查内容 ||| 测试结果(内容)
管廊本体(巡查项目) ||| 巡查方法 ||| 巡检(巡查方法)
天然气管道(巡查项目) ||| 巡查方法 ||| 巡检(巡查方法)
排水系统(系统) ||| 巡查方法 ||| 巡检(巡查方法)
排水管道(巡查项目) ||| 巡查方法 ||| 巡检(巡查方法)
运行维护(内容) ||| 巡查方法 ||| 巡检(巡查方法)
综合管廊(巡查项目) ||| 巡查内容 ||| 施工方法(内容)
运行相关数据(巡查项目) ||| 巡查内容 ||| BIM数据(内容)
运行相关数据(巡查项目) ||| 巡查内容 ||| 安全监测数据(内容)
综合管廊(巡查项目) ||| 巡查子项目 ||| 管道低点排放管(巡查项目)
综合管廊(巡查项目) ||| 巡查内容 ||| 水量(内容)
综合管廊(巡查项目) ||| 巡查内容 ||| 有毒有害气体排放(内容)
身份验证功能(内容) ||| 需要 ||| 防止非法用户(内容)
供电系统(巡查项目) ||| 巡查子项目 ||| 总变电站(巡查项目)
供电系统(巡查项目) ||| 巡查子项目 ||| 高低压成套开关柜(巡查项目)
电缆表皮(巡查项目) ||| 巡查内容 ||| 过热(内容)
中间接头(巡查项目) ||| 巡查内容 ||| 过热(内容)
综合管廊(巡查项目) ||| 巡查内容 ||| 配备应急装备(内容)
结构材料(巡查项目) ||| 巡查内容 ||| 缺损状况(内容)
综合管廊(巡查项目) ||| 巡查周期 ||| 第1年宜每季度监测1次(巡查周期)
综合管廊(巡查项目) ||| 巡查内容 ||| 变形速率明显增大(内容)
机电设备(巡查项目) ||| 巡查内容 ||| 结构(内容)
舱室(巡查项目) ||| 巡查内容 ||| 氧气浓度(内容)
综合管廊(巡查项目) ||| 巡查内容 ||| 氧气浓度(内容)
环境温度(内容) ||| 需要 ||| 满足设备、管线运行安全(内容)
湿度(内容) ||| 需要 ||| 满足设备、管线运行安全(内容)
氧气浓度(内容) ||| 需要 ||| 满足设备、管线运行安全(内容)
管线(巡查项目) ||| 巡查子项目 ||| 分支口(巡查项目)
信息查询功能(巡查项目) ||| 巡查内容 ||| 提供的信息(内容)
制定监测方案(内容) ||| 需要 ||| 结构形式(内容)
综合管廊(巡查项目) ||| 巡查内容 ||| 结构形式(内容)
综合管廊(巡查项目) ||| 巡查内容 ||| 清掏作业(内容)
装饰层材料(巡查项目) ||| 维护方法 ||| 养护方法(维护方法)
变形速率(内容) ||| 需要 ||| 明显增大(内容)
明显增大(内容) ||| 巡查周期 ||| 增加观测次数(巡查周期)
技术要求与方法(内容) ||| 需要 ||| 符合现行国家标准《建筑消防设施的维护管理》GB 25201和现行行业标准《建筑消防设施检测技术规程》GA 503(内容)
档案资料管理(巡查项目) ||| 巡查内容 ||| 国家安全(内容)
档案资料管理(巡查项目) ||| 巡查内容 ||| 保密要求(内容)
管道舱(巡查项目) ||| 巡查内容 ||| 无天然气异味(内容)
计算机与网络系统(巡查项目) ||| 巡查子项目 ||| 硬件装置(巡查项目)
计算机与网络系统(巡查项目) ||| 巡查子项目 ||| 软件系统(巡查项目)
硬件装置(巡查项目) ||| 巡查子项目 ||| 计算机设备(巡查项目)
检测仪器(内容) ||| 巡查方法 ||| 感应式水位仪(巡查方法)
综合管廊(巡查项目) ||| 巡查子项目 ||| 运行相关数据(巡查项目)
运行相关数据(巡查项目) ||| 巡查内容 ||| GIS数据(内容)
水量(内容) ||| 需要 ||| 符合管廊运行管理和安全要求(内容)
水质(内容) ||| 需要 ||| 符合管廊运行管理和安全要求(内容)
有毒有害气体排放(内容) ||| 需要 ||| 符合管廊运行管理和安全要求(内容)
系统(巡查项目) ||| 巡查内容 ||| 身份验证功能(内容)
缺损状况(内容) ||| 巡查方法 ||| 诊断(巡查方法)
结构整体(巡查项目) ||| 巡查内容 ||| 功能状况(内容)
漏水量(巡查项目) ||| 巡查内容 ||| 超过防水等级规定(内容)
变形量(内容) ||| 需要 ||| 变化情况(内容)
变形速率明显增大(内容) ||| 巡查周期 ||| 增加观测次数或持续观测(巡查周期)
变形显著(内容) ||| 巡查周期 ||| 增加观测次数或持续观测(巡查周期)
编号(内容) ||| 需要 ||| 可扩展性(内容)
编码(巡查项目) ||| 巡查内容 ||| 可扩展性(内容)
综合管廊本体(巡查项目) ||| 巡查内容 ||| 结构不均匀沉降(内容)
管段(巡查项目) ||| 巡查内容 ||| 保持畅通(内容)
管段(巡查项目) ||| 巡查内容 ||| 禁止堆物占用通道(内容)
综合管廊(巡查项目) ||| 巡查内容 ||| 技术档案(内容)
运营管理单位(巡查项目) ||| 巡查内容 ||| 技术档案(内容)
入廊管线(巡查项目) ||| 巡查子项目 ||| 随管线建设的检测监测装置(巡查项目)
堵漏水(内容) ||| 维护方法 ||| 堵塞法(维护方法)
漏水(内容) ||| 维护方法 ||| 堵塞法(维护方法)
热力管道(巡查项目) ||| 巡查内容 ||| 更新改造完毕(内容)
热力管道(巡查项目) ||| 巡查内容 ||| 停止运行后重新启用(内容)
电力电缆(巡查项目) ||| 巡查内容 ||| 为管廊内用电设施服务(内容)
配电箱(巡查项目) ||| 巡查内容 ||| 为管廊内用电设施服务(内容)
高低压成套开关柜(巡查项目) ||| 巡查内容 ||| 为管廊内用电设施服务(内容)
管廊沿线分变电站(巡查项目) ||| 巡查内容 ||| 为管廊内用电设施服务(内容)
总变电站(巡查项目) ||| 巡查内容 ||| 为管廊内用电设施服务(内容)
中间接头(巡查项目) ||| 巡查内容 ||| 防水密封良好(内容)
综合管廊(巡查项目) ||| 巡查内容 ||| 变形显著(内容)
维护(维护方法) ||| 需要 ||| 按照产品说明书、设备维护手册和其他相关技术要求实施(维护方法)
标识编码(巡查项目) ||| 巡查内容 ||| 规则应统一(内容)
标识系统(巡查项目) ||| 巡查子项目 ||| 工程终身质量永久性标牌(巡查项目)
仪表电缆(巡查项目) ||| 巡查内容 ||| 无着火(内容)
综合管廊(巡查项目) ||| 巡查子项目 ||| 运营管理单位(巡查项目)
技术档案(内容) ||| 巡查方法 ||| 核对(巡查方法)
应急电源(EPS)(巡查项目) ||| 巡查内容 ||| 故障信号(内容)
不间断电源(UPS)(巡查项目) ||| 巡查内容 ||| 故障信号(内容)
检测方法与要求(内容) ||| 需要 ||| 符合现行行业标准《建筑设备监控系统工程技术规范》JGJ/T 334(内容)
排水管道(巡查项目) ||| 巡查内容 ||| 管道基本概况(内容)
管廊结构(巡查项目) ||| 巡查内容 ||| 大规模沉降(内容)
综合管廊(巡查项目) ||| 巡查内容 ||| 水质(内容)
供电系统(巡查项目) ||| 巡查子项目 ||| 管廊沿线分变电站(巡查项目)
结构整体(巡查项目) ||| 巡查内容 ||| 性能(内容)
功能状况(内容) ||| 巡查方法 ||| 评估(巡查方法)
性能(内容) ||| 巡查方法 ||| 评估(巡查方法)
综合管廊(巡查项目) ||| 巡查周期 ||| 第2年宜每半年监测1次(巡查周期)
编号(内容) ||| 需要 ||| 易辨识(内容)
编码(巡查项目) ||| 巡查内容 ||| 易辨识(内容)
编号(内容) ||| 需要 ||| 唯一性(内容)
编码(巡查项目) ||| 巡查内容 ||| 唯一性(内容)
线路(巡查项目) ||| 巡查内容 ||| 完好状况(内容)
灯具(巡查项目) ||| 巡查内容 ||| 完好状况(内容)
控制功能(内容) ||| 需要 ||| 完好状况(内容)
结构不均匀沉降(内容) ||| 巡查方法 ||| 竖向位移监测(巡查方法)
日常监测(巡查方法) ||| 需要 ||| 竖向位移监测(巡查方法)
天然气舱室(巡查项目) ||| 巡查内容 ||| 运行条件(内容)
标识系统(巡查项目) ||| 巡查子项目 ||| 管线标识铭牌(巡查项目)
标识系统(巡查项目) ||| 巡查子项目 ||| 里程桩号牌标识(巡查项目)
仪表电缆(巡查项目) ||| 巡查内容 ||| 周围有无易燃物(内容)
排水管道(巡查项目) ||| 巡查内容 ||| 管道缺陷检测与评估成果(内容)
综合管廊(巡查项目) ||| 巡查内容 ||| 管道缺陷检测与评估成果(内容)
检查井(巡查项目) ||| 巡查内容 ||| 设置检修用闸槽(内容)
高压电缆(巡查项目) ||| 巡查内容 ||| 接头爆炸(内容)
管线(巡查项目) ||| 巡查内容 ||| 可靠固定(内容)
管线(巡查项目) ||| 巡查内容 ||| 排列整齐(内容)
照明系统(巡查项目) ||| 巡查子项目 ||| 灯具(巡查项目)
管道(巡查项目) ||| 维护方法 ||| 置换(维护方法)
标识系统(巡查项目) ||| 巡查子项目 ||| 综合管廊简介牌(巡查项目)
综合管廊(巡查项目) ||| 巡查内容 ||| 内外环境条件(内容)
市政公用管线(巡查项目) ||| 巡查子项目 ||| 再生水(巡查项目)
热力管道(巡查项目) ||| 巡查子项目 ||| 排气(巡查项目)
热力管道(巡查项目) ||| 巡查子项目 ||| 排水(巡查项目)
有事故征兆(内容) ||| 巡查周期 ||| 应持续观测(巡查周期)
接近预警值(内容) ||| 巡查周期 ||| 应持续观测(巡查周期)
检查检测(内容) ||| 需要 ||| 技术要求与方法(内容)
数据存储时间(内容) ||| 需要 ||| 不少于30天(内容)
压力(内容) ||| 维护方法 ||| 防污水外溢措施(维护方法)
水位(内容) ||| 维护方法 ||| 防污水外溢措施(维护方法)
供电系统(巡查项目) ||| 巡查子项目 ||| 高压作业(巡查项目)
舱室(巡查项目) ||| 巡查内容 ||| 满足系统运行要求(内容)
天然气管道系统(巡查项目) ||| 巡查内容 ||| 满足系统运行要求(内容)
清掏作业(内容) ||| 巡查方法 ||| 通风(巡查方法)
清掏作业(内容) ||| 巡查方法 ||| 防爆(巡查方法)
清掏作业(内容) ||| 巡查方法 ||| 保持廊内通风良好(巡查方法)
供电系统(巡查项目) ||| 巡查内容 ||| 每班不应少于2人(内容)
硬件装置(巡查项目) ||| 巡查子项目 ||| 网络设备(巡查项目)
标识系统(巡查项目) ||| 巡查子项目 ||| 警告标识(巡查项目)
标识系统(巡查项目) ||| 巡查子项目 ||| 设施标识(巡查项目)
工作井(巡查项目) ||| 巡查内容 ||| 附近地面(内容)
管道路径(巡查项目) ||| 巡查内容 ||| 附近地面(内容)
综合管廊(巡查项目) ||| 巡查子项目 ||| 主要供配电设施设备(巡查项目)
热力管道(巡查项目) ||| 巡查内容 ||| 运行压力、温度、输送量(内容)
供配电系统(巡查项目) ||| 巡查内容 ||| 维护专业性强(内容)
易脱落杂物(内容) ||| 包含 ||| 焊条(内容)
易脱落杂物(内容) ||| 包含 ||| 电缆(内容)
易脱落杂物(内容) ||| 包含 ||| 盲板(内容)
抢修(维护方法) ||| 维护内容 ||| 根据廊内环境条件采取必要防护措施(内容)
给水管线(巡查项目) ||| 巡查内容 ||| 根据廊内环境条件采取必要防护措施(内容)
天然气管线(巡查项目) ||| 巡查内容 ||| 综合管廊运行维护及安全管理标准(内容)
定期预防性试验(巡查方法) ||| 巡查内容 ||| 按现行行业标准《电力设备预防性试验规程》DL/T 596(内容)
入廊管线(巡查项目) ||| 巡查子项目 ||| 市政公用管线(巡查项目)
排水(巡查项目) ||| 巡查内容 ||| 符合综合管廊的运行管理要求(内容)
排气(巡查项目) ||| 巡查内容 ||| 符合综合管廊的运行管理要求(内容)
疏水(巡查项目) ||| 巡查内容 ||| 符合综合管廊的运行管理要求(内容)
排烟防火阀(巡查项目) ||| 巡查内容 ||| 检查检测(内容)
系统(巡查项目) ||| 巡查内容 ||| 在异常中断后防止非法进入(内容)
空调系统(巡查项目) ||| 巡查子项目 ||| 内、外机(巡查项目)
高压作业(巡查项目) ||| 巡查内容 ||| 设置监护人(内容)
标识系统(巡查项目) ||| 巡查子项目 ||| 简介牌(巡查项目)
疏水(内容) ||| 需要 ||| 符合运营管理单位的运行管理要求(内容)
排气(内容) ||| 需要 ||| 符合运营管理单位的运行管理要求(内容)
排水(内容) ||| 需要 ||| 符合运营管理单位的运行管理要求(内容)
线缆(巡查项目) ||| 巡查内容 ||| 下沉(内容)
标识标牌(巡查项目) ||| 维护方法 ||| 修补(维护方法)
出入口(巡查项目) ||| 巡查内容 ||| 非正常开启(内容)
入侵(巡查项目) ||| 巡查内容 ||| 非正常开启(内容)
主要供配电设施设备(巡查项目) ||| 巡查内容 ||| 运行维护的内容和方法(内容)
监控中心(巡查项目) ||| 巡查内容 ||| 与综合管廊同步建设(内容)
变电室(巡查项目) ||| 巡查内容 ||| 与综合管廊同步建设(内容)
维护(维护方法) ||| 维护内容 ||| 系统维护手册(内容)
维护(维护方法) ||| 维护内容 ||| 相关技术规范(内容)
管道补偿(内容) ||| 需要 ||| 自然补偿方式(内容)
天然气管线(巡查项目) ||| 巡查内容 ||| 运行、维护、抢修操作规程(内容)
综合管廊(巡查项目) ||| 巡查子项目 ||| 管廊结构结合处(巡查项目)
热力管道(巡查项目) ||| 巡查子项目 ||| 疏水(巡查项目)
变形量(内容) ||| 需要 ||| 接近预警值(内容)
变形量(内容) ||| 需要 ||| 有事故征兆(内容)
软件(巡查项目) ||| 巡查内容 ||| 更新(内容)
系统(巡查项目) ||| 巡查内容 ||| 安全策略(内容)
综合管廊(巡查项目) ||| 巡查子项目 ||| 档案资料管理(巡查项目)
天然气浓度(内容) ||| 需要 ||| 超过爆炸下限的20％(内容)
相关设备(巡查项目) ||| 巡查内容 ||| 联动执行(内容)
硬件装置(巡查项目) ||| 巡查子项目 ||| 输入输出设备(巡查项目)
管道路径(巡查项目) ||| 巡查内容 ||| 无可能有损管道和工作井的堆物(内容)
工作井(巡查项目) ||| 巡查内容 ||| 无可能有损管道和工作井的堆物(内容)
线缆(巡查项目) ||| 巡查子项目 ||| 固定设施(巡查项目)
信号中断(内容) ||| 巡查方法 ||| 报警(巡查方法)
非正常开启(内容) ||| 巡查方法 ||| 报警(巡查方法)
水位(巡查项目) ||| 维护方法 ||| 监测(维护方法)
水位(巡查项目) ||| 维护方法 ||| 检修(维护方法)
运行压力、温度、输送量(内容) ||| 需要 ||| 小于等于管道设计运行压力、温度和输送量(内容)
施工剩余(内容) ||| 需要 ||| 易脱落杂物(内容)
硬件装置(巡查项目) ||| 巡查子项目 ||| 数据存储设备(巡查项目)
标识系统(巡查项目) ||| 巡查子项目 ||| 管线标志铭牌(巡查项目)
标识系统(巡查项目) ||| 巡查子项目 ||| 里程桩号牌(巡查项目)
标识系统(巡查项目) ||| 巡查子项目 ||| 人员逃生指示(巡查项目)
数据接口(巡查项目) ||| 巡查内容 ||| 满足维护和管理的需求(内容)
渗漏水(内容) ||| 需要 ||| 影响范围与程度逐步增大(内容)
劣损(内容) ||| 需要 ||| 影响范围与程度逐步增大(内容)
综合管廊(巡查项目) ||| 巡查内容 ||| 管道运行安全(内容)
供配电系统(巡查项目) ||| 巡查内容 ||| 容易造成人员伤亡事故(内容)
供配电系统(巡查项目) ||| 巡查内容 ||| 对设施设备造成危害(内容)
监控中心(巡查项目) ||| 巡查内容 ||| 与综合管廊形成整体结构(内容)
变电室(巡查项目) ||| 巡查内容 ||| 与综合管廊形成整体结构(内容)
易脱落杂物(内容) ||| 包含 ||| 螺栓(内容)
摆放(巡查项目) ||| 巡查内容 ||| 合理(内容)
风机(巡查项目) ||| 巡查方法 ||| 例行养维护(巡查方法)
综合管廊(巡查项目) ||| 巡查内容 ||| 节能模式(内容)
氧气浓度(内容) ||| 需要 ||| 设备、管线运行安全(内容)
湿度(内容) ||| 需要 ||| 设备、管线运行安全(内容)
环境温度(内容) ||| 需要 ||| 设备、管线运行安全(内容)
氧气浓度(内容) ||| 需要 ||| 人员活动(内容)
湿度(内容) ||| 需要 ||| 人员活动(内容)
环境温度(内容) ||| 需要 ||| 人员活动(内容)
综合管廊(巡查项目) ||| 巡查内容 ||| 安全评估成果(内容)
制定监测方案(内容) ||| 需要 ||| 安全评估成果(内容)
出入口(巡查项目) ||| 巡查内容 ||| 信号中断(内容)
入侵(巡查项目) ||| 巡查内容 ||| 信号中断(内容)
日常巡检(巡查方法) ||| 巡查内容 ||| 容易出现安全事故(内容)
综合管廊(巡查项目) ||| 巡查子项目 ||| 应急照明(巡查项目)
照明系统(巡查项目) ||| 巡查子项目 ||| 应急照明(巡查项目)
管段(巡查项目) ||| 巡查子项目 ||| 应急照明(巡查项目)
应急照明(巡查项目) ||| 巡查内容 ||| 通道照明(内容)
易脱落杂物(内容) ||| 包含 ||| 管线(内容)
一般缺陷(内容) ||| 巡查方法 ||| 检查(巡查方法)
消防系统(系统) ||| 巡查方法 ||| 检查(巡查方法)
执行设备(巡查项目) ||| 巡查方法 ||| 检查(巡查方法)
控制设备(巡查项目) ||| 巡查方法 ||| 检查(巡查方法)
传感设备(巡查项目) ||| 巡查方法 ||| 检查(巡查方法)
照明系统(巡查项目) ||| 巡查方法 ||| 检查(巡查方法)
热力管道(巡查项目) ||| 巡查内容 ||| 管道补偿(内容)
管道补偿(内容) ||| 需要 ||| 减少补偿器的使用(内容)
中间接头(巡查项目) ||| 巡查子项目 ||| 摆放(巡查项目)
互感器(巡查项目) ||| 巡查方法 ||| 定期预防性试验(巡查方法)
变压器(巡查项目) ||| 巡查方法 ||| 定期预防性试验(巡查方法)
维护保养(维护方法) ||| 维护内容 ||| 符合现行行业标准《灭火器维修》GA 95(内容)
安全管理(内容) ||| 需要 ||| 符合各自管线入廊运行、维护及安全要求(内容)
运行维护(内容) ||| 需要 ||| 符合各自管线入廊运行、维护及安全要求(内容)
较大型的供配电设施设备(巡查项目) ||| 巡查内容 ||| 完备的操作使用说明(内容)
较大型的供配电设施设备(巡查项目) ||| 巡查内容 ||| 维修保养规程(内容)
综合管廊(巡查项目) ||| 巡查内容 ||| 制定监测方案(内容)
综合管廊(巡查项目) ||| 巡查内容 ||| 施工工艺(内容)
制定监测方案(内容) ||| 需要 ||| 施工工艺(内容)
易脱落杂物(内容) ||| 包含 ||| 保温材料(内容)
管道补偿(内容) ||| 需要 ||| 结合综合管廊空间条件(内容)
给水管线(巡查项目) ||| 巡查内容 ||| 抢修方案(内容)
抢修(维护方法) ||| 维护内容 ||| 符合现行行业标准《城镇供水管网抢修技术规程》CJJ/T 226(内容)
给水管线(巡查项目) ||| 巡查内容 ||| 符合现行行业标准《城镇供水管网抢修技术规程》CJJ/T 226(内容)
天然气管线(巡查项目) ||| 巡查内容 ||| 相关行业标准(内容)
专项应急预案(内容) ||| 包含 ||| 外部应急事件(内容)
用户(内容) ||| 需要 ||| 实行分级管理(内容)
综合管廊(巡查项目) ||| 巡查子项目 ||| 舱室排水(巡查项目)
运行维护(内容) ||| 需要 ||| 符合现行行业标准《城镇排水管道维护安全技术规程》CJJ 6和《城镇排水管渠与泵站维护技术规程》CJJ 68(内容)
安全管理(内容) ||| 需要 ||| 符合现行行业标准《城镇排水管道维护安全技术规程》CJJ 6和《城镇排水管渠与泵站维护技术规程》CJJ 68(内容)
水泵(巡查项目) ||| 巡查内容 ||| 手动或自动状态监视(内容)
消防系统(系统) ||| 巡查内容 ||| 检测对象(内容)
